Month,FteSum,FmlaSum
1/15/2009,25.5,NA
2/15/2009,26.5,NA
3/15/2009,26.5,NA
4/15/2009,26.5,NA
5/15/2009,25.5,NA
6/15/2009,25.5,NA
7/15/2009,25.5,NA
8/15/2009,24.5,63
9/15/2009,23.5,NA
10/15/2009,23.5,NA
11/15/2009,23.5,154
12/15/2009,23.5,NA
1/15/2010,23.5,NA
2/15/2010,23.5,NA
3/15/2010,23.5,NA
4/15/2010,23.5,269
5/15/2010,22.5,NA
6/15/2010,22.5,115
7/15/2010,21.5,102
8/15/2010,21.5,NA
9/15/2010,20.5,42
10/15/2010,20.5,141
11/15/2010,22.5,NA
12/15/2010,21.5,137
1/15/2011,21.5,NA
2/15/2011,21.5,NA
3/15/2011,21.5,59
4/15/2011,21.5,NA
5/15/2011,21.5,NA
6/15/2011,21.5,NA
7/15/2011,21.5,NA
8/15/2011,21.5,NA
9/15/2011,21.5,NA
10/15/2011,21.5,NA
11/15/2011,21.5,205
12/15/2011,21.5,NA
1/15/2012,20.5,NA
2/15/2012,20.5,NA
3/15/2012,20.5,NA
4/15/2012,21.5,NA
5/15/2012,25.5,144
6/15/2012,25.5,220
7/15/2012,25.5,NA
8/15/2012,25.5,255
9/15/2012,26.5,NA
10/15/2012,25.5,203
11/15/2012,23.5,181
12/15/2012,23.5,272
1/15/2013,23.5,NA
2/15/2013,23.5,NA
3/15/2013,23.5,NA
4/15/2013,22.5,NA
5/15/2013,21.5,NA
6/15/2013,21.5,NA
7/15/2013,21.5,NA
8/15/2013,21.5,NA
9/15/2013,20.5,NA
10/15/2013,20.5,NA
11/15/2013,19.5,NA
12/15/2013,18.5,NA
1/15/2014,21,NA
2/15/2014,21,NA
3/15/2014,21,NA
4/15/2014,21,201
5/15/2014,20,29
6/15/2014,22,NA
7/15/2014,24,NA
8/15/2014,23,260
9/15/2014,22,196
10/15/2014,22,NA
11/15/2014,21,193
12/15/2014,19,124
1/15/2015,19,NA
2/15/2015,19,NA
3/15/2015,20,93
4/15/2015,19,NA
5/15/2015,19,NA
6/15/2015,19,NA
7/15/2015,19,146
8/15/2015,19,NA
