CountyID,CountyName,GeoID,FipsCode,FundingC1,FundingOcap,C1LeadNurseRegion,C1LeadNurseName,Urban,LabelLongitude,LabelLatitude,MiechvEvaluation,MiechvFormula
1,Adair,40001,1,1,0,11,Hitchye,0,-94.6641458915974,35.9069668367649,0,0
2,Alfalfa,40003,3,0,0,15,Smith,0,-98.32320857933,36.7309255630188,0,0
3,Atoka,40005,5,1,0,4,Haworth,0,-96.0420499703509,34.3809870625568,0,0
4,Beaver,40007,7,0,0,2,Terry,0,-100.474745176143,36.7458468405142,0,0
5,Beckham,40009,9,1,0,14,Atchley,0,-99.686661710574,35.2696357540839,0,0
6,Blaine,40011,11,1,0,1,Ball,0,-98.4243959224942,35.8688113906142,0,0
7,Bryan,40013,13,1,0,6,Payne,0,-96.2558008293072,33.9616831096468,0,0
8,Caddo,40015,15,1,0,17,Hedrick,0,-98.3718783669626,35.177793720151,0,0
9,Canadian,40017,17,1,0,10,Mutzig,0,-97.9753768794938,35.5340567548489,0,0
10,Carter,40019,19,1,0,12,Pruitt,0,-97.2729492125733,34.2546712262712,0,0
11,Cherokee,40021,21,1,0,18,Wilson,0,-95.0103824561735,35.9355360744063,0,0
12,Choctaw,40023,23,1,0,6,Payne,0,-95.5473573813567,34.0538123875066,0,0
13,Cimarron,40025,25,0,0,2,Terry,0,-102.512063683289,36.7373650133402,0,0
14,Cleveland,40027,27,1,0,7,Jewell,0,-97.3299363042633,35.2012061949784,0,0
15,Coal,40029,29,1,0,4,Haworth,0,-96.2861224539074,34.5953455038142,0,0
16,Comanche,40031,31,1,0,17,Hedrick,0,-98.4691943985634,34.6655369286933,1,0
17,Cotton,40033,33,0,0,17,Hedrick,0,-98.368786919333,34.2918378918678,0,0
18,Craig,40035,35,1,0,18,Wilson,0,-95.2160886407782,36.7853186104569,0,0
19,Creek,40037,37,1,0,1,Ball,0,-96.3651747616148,35.8984115595445,0,0
20,Custer,40039,39,1,0,10,Mutzig,0,-98.9947255933091,35.6355925726426,0,0
21,Delaware,40041,41,1,0,18,Wilson,0,-94.8114064665649,36.4330750413896,0,0
22,Dewey,40043,43,0,0,1,Ball,0,-99.0026276338638,35.9860641060811,0,0
23,Ellis,40045,45,0,0,2,Terry,0,-99.7541920843861,36.2085544939542,0,0
24,Garfield,40047,47,1,0,15,Smith,0,-97.7785191348422,36.3678657387894,0,1
25,Garvin,40049,49,1,0,9,Long,0,-97.3023768608149,34.7103145563251,0,0
26,Grady,40051,51,1,0,9,Long,0,-97.8800824410339,35.0140335742845,0,0
27,Grant,40053,53,0,0,15,Smith,0,-97.7845052708135,36.7906959570334,0,0
